#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  60  60
# Band-Index:    1
   0.229   -50.686  0.000  0.245  0.001  0.749  0.000  0.000  0.000  0.000  0.000  0.996
   0.183   -50.686  0.000  0.710  0.000  0.284  0.000  0.000  0.000  0.000  0.000  0.994
   0.137   -50.686  0.000  0.744  0.000  0.251  0.000  0.000  0.000  0.000  0.000  0.995
   0.091   -50.685  0.000  0.725  0.000  0.265  0.000  0.000  0.000  0.000  0.000  0.990
   0.046   -50.685  0.000  0.240  0.003  0.753  0.000  0.000  0.000  0.000  0.000  0.996
   0.000   -50.686  0.000 -0.001  0.000 -0.175  0.000  0.000  0.000  0.000  0.000 -0.175
# Band-Index:    5
   0.000   -50.674  0.000  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.000  0.028
   0.046   -50.673  0.000  0.000  0.099  0.000  0.000  0.000  0.000  0.000  0.000  0.099
   0.091   -50.674  0.000  0.000  0.502  0.001  0.000  0.000  0.000  0.000  0.000  0.503
   0.137   -50.674  0.000  0.000 -0.631  0.000  0.000  0.000  0.000  0.000  0.000 -0.632
   0.183   -50.674  0.000  0.000 -0.928 -0.001  0.000  0.000  0.000  0.000  0.000 -0.930
   0.229   -50.674  0.000  0.000 -0.886 -0.001  0.000  0.000  0.000  0.000  0.000 -0.888
   0.274   -50.674  0.000 -0.001 -0.887 -0.002  0.000  0.000  0.000  0.000  0.000 -0.890
   0.320   -50.674  0.000  0.000 -0.807 -0.001  0.000  0.000  0.000  0.000  0.000 -0.808
   0.366   -50.673  0.000 -0.001 -0.694 -0.001  0.000  0.000  0.000  0.000  0.000 -0.696
   0.412   -50.673  0.000 -0.001 -0.880 -0.003  0.000  0.000  0.000  0.000  0.000 -0.884
   0.457   -50.673  0.000  0.000 -0.867  0.000  0.000  0.000  0.000  0.000  0.000 -0.868
   0.503   -50.673  0.000  0.000 -0.399  0.000  0.000  0.000  0.000  0.000  0.000 -0.398
   0.549   -50.673  0.000  0.000  0.542  0.000  0.000  0.000  0.000  0.000  0.000  0.542
   0.595   -50.673  0.000  0.000  0.900  0.000  0.000  0.000  0.000  0.000  0.000  0.900
   0.640   -50.674  0.000  0.000  0.916  0.001  0.000  0.000  0.000  0.000  0.000  0.918
   0.686   -50.673  0.000  0.000  0.931  0.000  0.000  0.000  0.000  0.000  0.000  0.932
   0.732   -50.673  0.000  0.000  0.902  0.000  0.000  0.000  0.000  0.000  0.000  0.902
   0.778   -50.673  0.000  0.000  0.893  0.000  0.000  0.000  0.000  0.000  0.000  0.893
   0.823   -50.673  0.000  0.000  0.715  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   0.869   -50.673  0.000  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.000  0.024
   0.869   -50.673  0.000  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.000  0.024
   0.896   -50.673  0.000  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   0.922   -50.673  0.000  0.000 -0.078  0.000  0.000  0.000  0.000  0.000  0.000 -0.078
   0.948   -50.673  0.000 -0.001 -0.137  0.000  0.000  0.000  0.000  0.000  0.000 -0.138
